[2021.05.27 16:02:53.702][autoupdaterui.cpp: 577][INFO]: Language is chinese
[2021.05.27 16:02:53.835][ftpmanager.cpp: 27][INFO]: Start download file: /version/updater.xml
[2021.05.27 16:02:53.883][ftpmanager.cpp: 57][INFO]: Finish download updater.xml file!
[2021.05.27 16:02:53.883][ftpmanager.cpp: 27][INFO]: Start download file: /version/versionInfoCh.txt
[2021.05.27 16:02:53.896][ftpmanager.cpp: 63][INFO]: Finish download versionInfoCh.txt file!
[2021.05.27 16:02:53.896][ftpmanager.cpp: 27][INFO]: Start download file: /version/versionInfoEn.txt
[2021.05.27 16:02:53.906][ftpmanager.cpp: 69][INFO]: Finish download versionInfoEn.txt file!
[2021.05.27 16:02:53.906][autoupdaterui.cpp: 432][INFO]: It is success that download updater.xml, versionInfoCh.txt and versionInfoEn.txt
[2021.05.27 16:02:53.907][autoupdater.cpp: 144][INFO]: Local xml: E:/anycubic/anycubic/Probation/project/src/AutoUpdater/release/updater.xml
[2021.05.27 16:02:53.907][autoupdater.cpp: 145][INFO]: Download xml: E:/anycubic/anycubic/Probation/project/src/AutoUpdater/release/download/updater.xml
[2021.05.27 16:02:53.907][autoupdater.cpp: 150][INFO]: Local xml is lost, make local xml file on init.
[2021.05.27 16:02:53.907][autoupdater.cpp: 206][INFO]: Local init xml file content: <?xml version="1.0" encoding="utf-8"?>
<autoupdate>
    <version>V0.0</version>
    <filelist>
    </filelist>
</autoupdate>
[2021.05.27 16:02:53.908][autoupdater.cpp: 169][INFO]: Old version: V0.0, New version V3.0
[2021.05.27 16:02:53.908][autoupdater.cpp: 178][INFO]: Server version is updater, need to update!
[2021.05.27 16:02:53.908][autoupdaterui.cpp: 322][INFO]: Update UI
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: AutoUpdater.exe file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: AutoUpdateTestV3.0.exe file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: D3Dcompiler_47.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: libEGL.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: libGLESV2.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: opengl32sw.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Core.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Gui.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Network.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Svg.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Widgets.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: Qt5Xml.dll file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: updater.xml file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: versionInfoCh.txt file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: versionInfoEn.txt file, and directory is: ./
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qgenericbearer.dll file, and directory is: /bearer
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qsvgicon.dll file, and directory is: /iconengines
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qgif.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qicns.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qico.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qjpeg.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qsvg.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qtga.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.909][autoupdater.cpp: 247][INFO]: Load: qtiff.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qwbmp.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qwebp.dll file, and directory is: /imageformats
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qwindows.dll file, and directory is: /platforms
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qwindowsvistastyle.dll file, and directory is: /styles
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_ar.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_bg.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_ca.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_cs.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_da.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_de.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_es.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_fi.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_fr.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_gd.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_he.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_hu.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_it.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_ja.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_ko.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_lv.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_pl.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_ru.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_sk.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 247][INFO]: Load: qt_uk.qm file, and directory is: /translations
[2021.05.27 16:02:53.910][autoupdater.cpp: 253][INFO]: Load update files over.
